Name,Platform,Developer,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Picross DS,DS,Jupiter Corporation,Nintendo,0.5,0.17,0.02,0.3,0.02
Tactics Ogre: The Knight of Lodis,GBA,Quest,Nintendo,0.5,0.13,0.05,0.31,0.01
Rooms: The Main Building,DS,HandMade Game,Nintendo,0.5,0.1,0.34,0.01,0.05
Picross 3D,DS,HAL Labs,Nintendo,0.49,0.28,0.03,0.16,0.02
Fire Emblem: Radiant Dawn,Wii,Intelligent Systems,Nintendo,0.49,0.27,0.03,0.17,0.03
Pokemon Art Academy ,3DS,Headstrong Games,Nintendo,0.49,0.18,0.12,0.16,0.03
Steel Diver,3DS,Nintendo,Nintendo,0.49,0.31,0.09,0.05,0.03
Bravely Second: End Layer,3DS,Silicon Studio,Nintendo,0.49,0.17,0.1,0.18,0.03
Mario Golf: World Tour,3DS,Camelot Software Planning,Nintendo,0.48,0.15,0.13,0.17,0.03
Fortune Street,Wii,Marvelous AQL,Nintendo,0.48,0.25,0.03,0.17,0.02
Children of Mana,DS,Nex Entertainment,Nintendo,0.48,0.16,0.01,0.29,0.01
FlingSmash,Wii,Artoon,Nintendo,0.47,0.37,0.01,0.07,0.02
Dance Dance Revolution: Mario Mix,GC,Hudson,Nintendo,0.47,0.36,0.09,0,0.01
Art Academy: Lessons for Everyone,3DS,"Nintendo, Headstrong Games",Nintendo,0.46,0.2,0.04,0.21,0.02
Classic NES Series: Pac-Man,GBA,Nintendo,Nintendo,0.46,0.25,0.09,0.12,0.01
Mario Golf: Advance Tour,GBA,Camelot Software Planning,Nintendo,0.45,0.32,0.12,0,0.01
Mario Tennis Ultra Smash,WiiU,"Nintendo, Camelot Software Planning",Nintendo,0.44,0.13,0.15,0.14,0.02
Wario World,GC,Treasure,Nintendo,0.44,0.34,0.09,0,0.01
Samurai Warriors 3,Wii,Omega Force,Nintendo,0.44,0.09,0.02,0.32,0.01
Eternal Darkness: Sanity's Requiem,GC,Silicon Knights,Nintendo,0.44,0.34,0.09,0,0.01
Classic NES Series: Metroid,GBA,Nintendo,Nintendo,0.43,0.26,0.1,0.07,0.01
Master of Illusion,DS,Tenyo,Nintendo,0.43,0.16,0,0.26,0.01
Story of Seasons,3DS,Marvelous AQL,Nintendo,0.42,0,0.14,0.27,0.01
Paper Mario: Color Splash,WiiU,"Nintendo, Intelligent Systems",Nintendo,0.42,0.2,0.14,0.05,0.03
Animal Crossing: Amiibo Festival,WiiU,"Nintendo, Nd Cube",Nintendo,0.41,0.19,0.11,0.09,0.03
Battalion Wars,GC,Kuju Entertainment,Nintendo,0.4,0.25,0.07,0.07,0.01
The Wonderful 101,WiiU,PlatinumGames,Nintendo,0.4,0.19,0.1,0.08,0.03
Donkey Konga 2,GC,Namco,Nintendo,0.39,0.3,0.08,0,0.01
Advance Wars: Dual Strike,DS,Intelligent Systems,Nintendo,0.39,0.3,0.02,0.04,0.03
Pokemon Channel,GC,Ambrella,Nintendo,0.38,0.24,0.06,0.07,0.01
Wii Sports Club,WiiU,Nintendo,Nintendo,0.38,0.17,0.14,0.04,0.03
Custom Robo,GC,Noise Inc.,Nintendo,0.37,0.29,0.07,0,0.01
Pac-Man World 2,GC,Namco,Nintendo,0.37,0.28,0.07,0,0.01
Elite Beat Agents,DS,iNiS,Nintendo,0.36,0.3,0.03,0,0.03
Star Fox: Zero,WiiU,PlatinumGames,Nintendo,0.36,0.17,0.1,0.07,0.03
Hamtaro: Ham-Ham Heartbreak,GBA,Pax Softonica,Nintendo,0.36,0.26,0.1,0,0.01
Fossil Fighters: Frontier,3DS,"RED Entertainment, Spike Chunsoft",Nintendo,0.36,0.08,0.04,0.23,0.01
Trauma Center: Under the Knife,DS,ITL,Nintendo,0.35,0.3,0.01,0.02,0.03
Classic NES Series: Ice Climber,GBA,Nintendo,Nintendo,0.34,0.1,0.04,0.2,0.01
Battalion Wars 2,Wii,Kuju Entertainment,Nintendo,0.34,0.22,0.02,0.08,0.02
Trauma Center: Second Opinion,Wii,Atlus,Nintendo,0.34,0.28,0.01,0.03,0.03
Classic NES Series: Castlevania,GBA,Konami,Nintendo,0.33,0.17,0.06,0.09,0.01
Planet Puzzle League,DS,Intelligent Systems,Nintendo,0.33,0.14,0.01,0.16,0.01
Etrian Odyssey,DS,"Lancarse, Atlus",Nintendo,0.33,0.19,0.02,0.09,0.02
Dr. Mario / Puzzle League,GBA,Intelligent Systems,Nintendo,0.33,0.12,0.04,0.16,0.01
Mystery Case Files: The Malgrave Incident,Wii,Sanzaru Games,Nintendo,0.32,0.17,0.13,0,0.03
Pandora's Tower,Wii,Ganbarion,Nintendo,0.31,0.11,0.1,0.08,0.02
Mario Party: Star Rush,3DS,"Nintendo, Nd Cube",Nintendo,0.3,0.08,0.13,0.08,0.02
Glory of Heracles,DS,Paon Corporation,Nintendo,0.29,0.19,0,0.08,0.01
Trace Memory,DS,Cing,Nintendo,0.29,0.15,0.01,0.12,0.01
Trauma Center: New Blood,Wii,Atlus,Nintendo,0.29,0.22,0.04,0.01,0.02
Tales of Phantasia,GBA,Namco,Nintendo,0.29,0.08,0.03,0.17,0.01
Final Fantasy VI Advance,GBA,TOSE,Nintendo,0.28,0,0,0.28,0.01
NES Remix,WiiU,Indies Zero,Nintendo,0.28,0.17,0,0.08,0.02
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,Monolith Soft,Nintendo,0.27,0.21,0.05,0,0.01
Sing Party,WiiU,FreeStyleGames,Nintendo,0.27,0.13,0.12,0,0.02
America's Test Kitchen: Let's Get Cooking,DS,Indies Zero,Nintendo,0.26,0.25,0,0,0.02
Final Fantasy V Advance,GBA,TOSE,Nintendo,0.26,0,0,0.26,0.01
Inazuma Eleven Strikers,Wii,Level 5,Nintendo,0.26,0,0.01,0.25,0
ExciteBots: Trick Racing,Wii,Monster Games Inc.,Nintendo,0.26,0.24,0,0,0.02
Polarium,DS,Mitchell,Nintendo,0.26,0.13,0.01,0.11,0.01
Metroid Prime Pinball,DS,Fuse Games Limited,Nintendo,0.25,0.21,0,0.02,0.02
NBA Courtside 2002,GC,Left Field Productions,Nintendo,0.25,0.19,0.05,0,0.01
Classic NES Series: Excitebike,GBA,Nintendo,Nintendo,0.25,0.11,0.04,0.1,0.01
DK: King of Swing,GBA,Paon Corporation,Nintendo,0.24,0.17,0.06,0,0
Meteos,DS,Q Entertainment,Nintendo,0.23,0.15,0.01,0.06,0.01
Hamtaro: Ham-Ham Games,GBA,Alphadream Corporation,Nintendo,0.22,0.16,0.06,0,0
Spirit Camera: The Cursed Memoir,3DS,Tecmo Koei Games,Nintendo,0.22,0.13,0.02,0.06,0.01
