Developer,Genre,Total_Global_Sales
Rockstar Toronto,Action,3.25
"Irrational Games, 2K Marin",Shooter,3.24
Matrix Software,Role-Playing,3.24
City Interactive,Shooter,3.21
"Lexis Numerique, Virtual Toys",Simulation,3.2
Blitz Games,Action,3.18
Crytek,Shooter,3.18
Monkey Bar Games,Action,3.17
Sega AM2,Fighting,3.17
Vigil Games,Action,3.16
Vicarious Visions,Racing,3.16
From Software,Action,3.15
Game Arts,Role-Playing,3.15
n-Space,Shooter,3.15
Activision,Misc,3.13
Neversoft Entertainment,Action,3.13
Exient Entertainment,Sports,3.12
"Dimps Corporation, Sonic Team",Platform,3.12
Ubisoft,Racing,3.11
Square Enix,Fighting,3.11
"Dice, Danger Close",Shooter,3.1
UBlart Montpellier,Platform,3.1
4J Studios,Role-Playing,3.1
Mass Media,Puzzle,3.1
EA Tiburon,Action,3.1
WayForward,Platform,3.08
Pivotal Games,Shooter,3.08
EA Salt Lake,Sports,3.06
Blue Castle Games,Action,3.04
Artificial Mind and Movement,Adventure,3.04
Nintendo,Adventure,3.03
Koei,Strategy,3.03
Headstrong Games,Misc,3.02
Juice Games,Racing,3.02
Junction Point,Platform,3
"Majesco Games, Majesco",Sports,2.99
Maxis,Misc,2.99
Artefacts Studio,Misc,2.99
Amusement Vision,Puzzle,2.98
Monster Games Inc.,Racing,2.97
Asobo Studio,Action,2.97
Atlus Co.,Role-Playing,2.97
Oddworld Inhabitants,Platform,2.96
Beenox,Action,2.96
"LucasArts, BioWare",Role-Playing,2.96
Kaos Studios,Shooter,2.93
Exient Entertainment,Racing,2.92
EA DICE,Platform,2.92
Sega,Platform,2.91
Backbone Entertainment,Racing,2.9
Terminal Reality,Shooter,2.89
OfficeCreate,Simulation,2.89
Midway Studios - San Diego,Puzzle,2.89
Danger Close,Action,2.89
SCE Japan Studio,Action,2.89
DC Studios,Action,2.84
"EA DICE, Danger Close",Shooter,2.81
Hellbent Games,Strategy,2.79
Digital Extremes,Shooter,2.79
Webfoot Technologies,Role-Playing,2.78
Tecmo,Simulation,2.76
SNK Playmore,Fighting,2.75
Acclaim,Racing,2.75
Robomodo,Sports,2.74
Eidos Montreal,Shooter,2.74
TOSE,Platform,2.73
Griptonite Games,Simulation,2.73
Factor 5,Simulation,2.7
VIS Entertainment,Action,2.7
Vicarious Visions,Role-Playing,2.69
Genki,Racing,2.69
Ryu ga Gotoku Studios,Action,2.66
Big Blue Box,Role-Playing,2.66
Team Fusion,Shooter,2.65
Page 44 Studios,Sports,2.65
Sonic Team,Racing,2.64
Rare Ltd.,Simulation,2.64
EA Sports Big,Sports,2.63
Microsoft Game Studios,Sports,2.63
Hangar 13,Action,2.62
Cooking Mama Limited,Simulation,2.62
NanaOn-Sha,Simulation,2.61
CyberConnect2,Role-Playing,2.61
Codemasters,Shooter,2.56
8ing/Raizing,Fighting,2.56
Blue Castle Games,Sports,2.55
Sumo Digital,Platform,2.54
Project Aces,Simulation,2.53
TOSE,Misc,2.52
"Ubisoft Reflections, Ivory Tower",Racing,2.52
Virtuos,Racing,2.51
Konami Computer Entertainment Hawaii,Adventure,2.5
Playground Games,Racing,2.48
Paradox Development,Fighting,2.47
Edge of Reality,Action,2.46
Giants Software,Simulation,2.46
Cyan Worlds,Adventure,2.45
THQ,Adventure,2.45
Pandemic Studios,Action,2.44
49Games,Sports,2.43
"Koei, Omega Force",Action,2.43
Starbreeze,Shooter,2.42
Day 1 Studios,Shooter,2.42
Alfa System,Role-Playing,2.39
Creative Assembly,Shooter,2.39
Griptonite Games,Platform,2.38
Namco Bandai Games,Misc,2.38
EA Redwood Shores,Sports,2.36
Frontier Developments,Misc,2.35
GREZZO,Action,2.34
"Rare Ltd., BigPark",Sports,2.34
Vicarious Visions,Shooter,2.33
Capcom,Platform,2.33
Rockstar San Diego,Sports,2.33
Point of View,Sports,2.33
ArenaNet,Action,2.31
Sony Online Entertainment,Role-Playing,2.3
Incinerator Games,Racing,2.28
"HAL Labs, Creatures Inc.",Role-Playing,2.28
Studio Liverpool,Racing,2.27
LucasArts,Simulation,2.26
Taito Corporation,Puzzle,2.26
