Developer,Genre,Total_Global_Sales,Total_Global_Sales_By_Developer
EA Bright Light,Puzzle,2,10.95
Bandai Namco Games,Action,0.52,10.91
Bandai Namco Games,Sports,1.78,10.91
Bandai Namco Games,Role-Playing,5.91,10.91
Bandai Namco Games,Misc,0.04,10.91
Bandai Namco Games,Racing,0.1,10.91
Bandai Namco Games,Fighting,2.04,10.91
Bandai Namco Games,Puzzle,0.52,10.91
Team Ninja,Fighting,4.43,10.86
Team Ninja,Action,5.54,10.86
Team Ninja,Sports,0.89,10.86
Next Level Games,Sports,4.49,10.63
Next Level Games,Shooter,0.12,10.63
Next Level Games,Action,6.02,10.63
Backbone Entertainment,Strategy,0.22,10.54
Backbone Entertainment,Action,0.23,10.54
Backbone Entertainment,Misc,5.99,10.54
Backbone Entertainment,Racing,2.9,10.54
Backbone Entertainment,Role-Playing,0.56,10.54
Backbone Entertainment,Sports,0.1,10.54
Backbone Entertainment,Simulation,0.13,10.54
Backbone Entertainment,Platform,0.41,10.54
Guerrilla,Shooter,10.52,10.52
Altron,Racing,1.25,10.43
Altron,Action,5.32,10.43
Altron,Adventure,1.78,10.43
Altron,Sports,0.18,10.43
Altron,Misc,0.54,10.43
Altron,Platform,0.09,10.43
Altron,Strategy,1.27,10.43
Rebellion,Action,0.34,10.2
Rebellion,Puzzle,0.13,10.2
Rebellion,Shooter,9.65,10.2
Rebellion,Sports,0.08,10.2
Lionhead Studios,Role-Playing,10.04,10.08
Lionhead Studios,Simulation,0.04,10.08
Amaze Entertainment,Fighting,0.12,9.99
Amaze Entertainment,Shooter,2.19,9.99
Amaze Entertainment,Adventure,0.73,9.99
Amaze Entertainment,Platform,1.19,9.99
Amaze Entertainment,Misc,0.04,9.99
Amaze Entertainment,Action,5.72,9.99
Exient Entertainment,Action,0.63,9.82
Exient Entertainment,Sports,3.12,9.82
Exient Entertainment,Misc,0.76,9.82
Exient Entertainment,Strategy,1.72,9.82
Exient Entertainment,Simulation,0.67,9.82
